Standort,Gradtagszahlen,E_load_h,E_load_tww,E_el_gesamt,E_gf,E_gs,Autarkiegrad,P_gs_avg_max_1h,P_gs_avg_max_24h,WP-Hersteller,WP-Name,WP-Katergorie,WP-Laufzeit,Heizlänge,WP-Typ,WP-Leistung,E_hp_h_th,E_hp_tww_th,E_hp_el,E_hp_h_el,E_hp_tww_el,JAZ,JAZ_h,JAZ_tww,SJAZ,f_heizstab,T_sp_h_avg,T_sp_tww_avg,P_pv,PV_orientation,E_pv,E_pv_sc,E_bat,E_bc,E_bd
1.0,3357.0,8111.081856522998,1875.01953125,3359.203659246209,3825.367702898119,2358.4621954776603,0.298,3246.1139339477836,913.5321312089931,STIEBEL ELTRON ,WPL 09 ICS classic,L/W,4345.3,0.0,geregelt,3980.0,8316.817567371263,2458.6105790192764,2359.1868925795425,1675.9605600688906,683.2263325106521,4.567433033933421,4.962418427692236,3.5985301825013374,4.2328572692493065,0.005,26.768548681542434,48.48995251724043,5.0,Süd,4826.109166666666,1000.7414637685484,0.0,0.0,0.0
1.0,3357.0,8111.081856522998,1875.01953125,3359.203659246209,3388.9309902341693,2103.7003740839095,0.374,3256.1139339477836,922.0869082637597,STIEBEL ELTRON ,WPL 09 ICS classic,L/W,4345.3,0.0,geregelt,3980.0,8316.817567371263,2458.6105790192764,2359.1868925795425,1675.9605600688906,683.2263325106521,4.567433033933421,4.962418427692236,3.5985301825013374,4.2328572692493065,0.005,26.768548681542434,48.48995251724043,5.0,Süd,4826.109166666666,1000.7414637685484,1.0,485.6066192807039,303.9317280105056
1.0,3357.0,8111.081856522998,1875.01953125,3359.203659246209,3110.4768991197034,1850.2293492881906,0.449,3256.1139339477836,922.1487706344082,STIEBEL ELTRON ,WPL 09 ICS classic,L/W,4345.3,0.0,geregelt,3980.0,8316.817567371263,2458.6105790192764,2359.1868925795425,1675.9605600688906,683.2263325106521,4.567433033933421,4.962418427692236,3.5985301825013374,4.2328572692493065,0.005,26.768548681542434,48.48995251724043,5.0,Süd,4826.109166666666,1000.7414637685484,2.0,756.5193876605921,549.8614300716483
1.0,3357.0,8111.081856522998,1875.01953125,3359.203659246209,2927.9192190080375,1680.8004952991166,0.5,3256.1139339477836,922.2304748486188,STIEBEL ELTRON ,WPL 09 ICS classic,L/W,4345.3,0.0,geregelt,3980.0,8316.817567371263,2458.6105790192764,2359.1868925795425,1675.9605600688906,683.2263325106521,4.567433033933421,4.962418427692236,3.5985301825013374,4.2328572692493065,0.005,26.768548681542434,48.48995251724043,5.0,Süd,4826.109166666666,1000.7414637685484,3.0,935.279285485461,715.4925017739242
1.0,3357.0,8111.081856522998,1875.01953125,3359.203659246209,2790.0215511516208,1558.7129810098875,0.536,3256.1139339477836,922.3380805119855,STIEBEL ELTRON ,WPL 09 ICS classic,L/W,4345.3,0.0,geregelt,3980.0,8316.817567371263,2458.6105790192764,2359.1868925795425,1675.9605600688906,683.2263325106521,4.567433033933421,4.962418427692236,3.5985301825013374,4.2328572692493065,0.005,26.768548681542434,48.48995251724043,5.0,Süd,4826.109166666666,1000.7414637685484,4.0,1070.5599220589652,834.96298478024
1.0,3357.0,8111.081856522998,1875.01953125,3359.203659246209,2688.49402125628,1471.0127670178217,0.562,3256.1139339477836,922.4573260471107,STIEBEL ELTRON ,WPL 09 ICS classic,L/W,4345.3,0.0,geregelt,3980.0,8316.817567371263,2458.6105790192764,2359.1868925795425,1675.9605600688906,683.2263325106521,4.567433033933421,4.962418427692236,3.5985301825013374,4.2328572692493065,0.005,26.768548681542434,48.48995251724043,5.0,Süd,4826.109166666666,1000.7414637685484,5.0,1170.5581869359175,921.1339337539196
1.0,3357.0,8111.081856522998,1875.01953125,3359.203659246209,2612.884144268451,1407.8823690239767,0.581,3256.1139339477836,922.5018206729654,STIEBEL ELTRON ,WPL 09 ICS classic,L/W,4345.3,0.0,geregelt,3980.0,8316.817567371263,2458.6105790192764,2359.1868925795425,1675.9605600688906,683.2263325106521,4.567433033933421,4.962418427692236,3.5985301825013374,4.2328572692493065,0.005,26.768548681542434,48.48995251724043,5.0,Süd,4826.109166666666,1000.7414637685484,6.0,1245.269894072871,983.3661618968887
1.0,3357.0,8111.081856522998,1875.01953125,3359.203659246209,2554.417187718044,1360.9655282811143,0.595,3256.1139339477836,922.6069381146616,STIEBEL ELTRON ,WPL 09 ICS classic,L/W,4345.3,0.0,geregelt,3980.0,8316.817567371263,2458.6105790192764,2359.1868925795425,1675.9605600688906,683.2263325106521,4.567433033933421,4.962418427692236,3.5985301825013374,4.2328572692493065,0.005,26.768548681542434,48.48995251724043,5.0,Süd,4826.109166666666,1000.7414637685484,7.0,1303.1734358893386,1029.7195879058097
1.0,3357.0,8111.081856522998,1875.01953125,3359.203659246209,2514.6246352665394,1331.6578870103513,0.604,3256.1139339477836,922.5922212116401,STIEBEL ELTRON ,WPL 09 ICS classic,L/W,4345.3,0.0,geregelt,3980.0,8316.817567371263,2458.6105790192764,2359.1868925795425,1675.9605600688906,683.2263325106521,4.567433033933421,4.962418427692236,3.5985301825013374,4.2328572692493065,0.005,26.768548681542434,48.48995251724043,5.0,Süd,4826.109166666666,1000.7414637685484,8.0,1342.7911340088708,1058.852374844602
1.0,3357.0,8111.081856522998,1875.01953125,3359.203659246209,2486.551485967079,1313.5758476038598,0.609,3256.1139339477836,922.692595884259,STIEBEL ELTRON ,WPL 09 ICS classic,L/W,4345.3,0.0,geregelt,3980.0,8316.817567371263,2458.6105790192764,2359.1868925795425,1675.9605600688906,683.2263325106521,4.567433033933421,4.962418427692236,3.5985301825013374,4.2328572692493065,0.005,26.768548681542434,48.48995251724043,5.0,Süd,4826.109166666666,1000.7414637685484,9.0,1370.8371568935136,1076.907287836276
